Iteration, Elapsed Time, TX Diff Output Swing(mV), Port TXDIFFCTRL0[2:0], Port TXBUFDIFFCTRL0[2:0], TX Pre-Emphasis, Port TXPREEMPHASIS0[2:0], RX Equalization, Port RXEQMIX0[1:0], DFETAP1, DFETAP2, RX Sampling Point(tap), RX Sampling Point(UI), Attr PMA_CDR_SCAN, Link, # Bits, # Errs, BER
1, 00:00:1, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 0, 0.000, 6404000, 0,  4.728E012,  4.728E012, 1
2, 00:00:2, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 1, 0.008, 6404001, 0,  8.974E012,  8.974E012, 1
3, 00:00:3, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 2, 0.016, 6404002, 0,  8.854E012,  8.854E012, 1
4, 00:00:4, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 3, 0.024, 6404003, 0,  8.914E012,  8.914E012, 1
5, 00:00:5, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 4, 0.031, 6404004, 0,  8.901E012,  8.901E012, 1
6, 00:00:6, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 5, 0.039, 6404005, 0,  8.725E012,  8.725E012, 1
7, 00:00:7, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 6, 0.047, 6404006, 0,  8.737E012,  8.737E012, 1
8, 00:00:8, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 7, 0.055, 6404007, 0,  8.911E012,  8.911E012, 1
9, 00:00:9, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 8, 0.063, 6404008, 0,  8.942E012,  8.942E012, 1
10, 00:00:10, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 9, 0.071, 6404009, 1, 9355919360, 478892855,  5.119E-002
11, 00:00:11, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 10, 0.079, 640400A, 0,  8.919E012,  8.919E012, 1
12, 00:00:12, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 11, 0.087, 640400B, 0,  8.923E012,  8.923E012, 1
13, 00:00:13, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 12, 0.094, 640400C, 0,  8.879E012,  8.879E012, 1
14, 00:00:14, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 13, 0.102, 640400D, 0,  8.960E012,  8.960E012, 1
15, 00:00:15, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 14, 0.110, 640400E, 0,  8.860E012,  8.860E012, 1
16, 00:00:16, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 15, 0.118, 640400F, 0,  8.996E012,  8.996E012, 1
17, 00:00:17, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 16, 0.126, 6404010, 0,  8.976E012,  8.976E012, 1
18, 00:00:18, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 17, 0.134, 6404011, 0,  8.941E012,  8.941E012, 1
19, 00:00:19, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 18, 0.142, 6404012, 1, 9253683200, 26014665,  2.811E-003
20, 00:00:20, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 19, 0.150, 6404013, 1, 9180282880, 20140658,  2.194E-003
21, 00:00:21, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 20, 0.157, 6404014, 0,  8.979E012,  8.979E012, 1
22, 00:00:22, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 21, 0.165, 6404015, 0,  8.967E012,  8.967E012, 1
23, 00:00:23, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 22, 0.173, 6404016, 1, 9206497280, 8940601,  9.711E-004
24, 00:00:24, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 23, 0.181, 6404017, 1, 9261547520, 6427055,  6.940E-004
25, 00:00:25, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 24, 0.189, 6404018, 1, 9387376640, 4203490,  4.478E-004
26, 00:00:26, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 25, 0.197, 6404019, 1, 9148825600, 2686495,  2.936E-004
27, 00:00:27, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 26, 0.205, 640401A, 0,  8.894E012,  8.894E012, 1
28, 00:00:28, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 27, 0.213, 640401B, 0,  9.005E012,  9.005E012, 1
29, 00:00:30, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 28, 0.220, 640401C, 0,  8.993E012,  8.993E012, 1
30, 00:00:31, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 29, 0.228, 640401D, 1, 9117368320, 452048,  4.958E-005
31, 00:00:32, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 30, 0.236, 640401E, 1, 9329704960, 141158,  1.513E-005
32, 00:00:33, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 31, 0.244, 640401F, 1, 9261547520, 77744,  8.394E-006
33, 00:00:34, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 32, 0.252, 6404020, 1, 9216983040, 36370,  3.946E-006
34, 00:00:35, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 33, 0.260, 6404021, 1, 9300869120, 23623,  2.540E-006
35, 00:00:36, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 34, 0.268, 6404022, 1, 9272033280, 8704,  9.387E-007
36, 00:00:37, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 35, 0.276, 6404023, 1, 9243197440, 779,  8.428E-008
37, 00:00:38, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 36, 0.283, 6404024, 1, 9161932800, 321,  3.504E-008
38, 00:00:39, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 37, 0.291, 6404025, 1, 9203875840, 42,  4.563E-009
39, 00:00:40, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 38, 0.299, 6404026, 1, 9059696640, 10,  1.104E-009
40, 00:00:41, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 39, 0.307, 6404027, 1, 9222225920, 3,  3.253E-010
41, 00:00:42, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 40, 0.315, 6404028, 1, 9261547520, 0,  1.080E-010
42, 00:00:43, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 41, 0.323, 6404029, 1, 9245818880, 0,  1.082E-010
43, 00:00:44, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 42, 0.331, 640402A, 1, 9282519040, 0,  1.077E-010
44, 00:00:45, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 43, 0.339, 640402B, 1, 9269411840, 0,  1.079E-010
45, 00:00:46, 500 , 000, 000, 0%, 0000, 00, 00, 0, 0, 44, 0.346, 640402C, 1, 9219604480, 0,  1.085E-010
